,Bath,Bed,Half-bath,Price,Square_Feet,Zip_code
6821,5,5,1,3945000,6519,92677
6822,5,5,1,3499000,6000,92679
6823,3,4,2,2249800,4107,92807
6824,6,4,0,1788888,4214,92886
6825,2,3,0,239000,1380,96019
6826,2,4,1,2795000,1755,92661
6827,4,5,2,2788988,7633,91791
6828,4,6,1,2739000,4050,92625
6829,2,5,1,1600000,3948,92061
6830,3,3,1,1595000,2776,93022
6831,2,3,1,1399900,1760,92629
6832,3,4,1,1300000,3561,92028
6833,4,5,1,1239000,4972,91737
6834,3,3,1,1095000,3662,92210
6835,2,4,0,899900,2200,92869
6836,3,4,1,877000,3922,92020
6837,2,4,0,799000,1912,92624
6838,2,3,1,729500,1913,92692
6839,3,4,0,690900,2340,90001
6840,2,4,0,679000,1786,93240
6841,2,3,0,599888,1278,92706
6842,2,3,0,584900,2300,92210
6843,3,4,0,499900,3044,92399
6844,4,4,1,2150000,5678,92270
6845,3,3,1,1850000,2893,92103
6846,3,4,1,1725000,2320,90803
6847,3,4,1,1725000,2320,90803
6848,2,3,0,1599900,2811,91745
6849,2,3,0,1525000,2164,91007
6850,4,4,1,1468000,4275,92867
6851,3,3,0,991500,2244,93444
6852,5,4,2,975000,3199,91406
6853,1,2,0,975000,600,90291
6854,3,4,1,960000,4827,92561
6855,3,4,0,950000,2209,91364
6856,3,4,0,875000,2818,92673
6857,4,5,1,849999,3698,93063
6858,3,4,0,799000,2199,93003
6859,2,3,0,779000,2191,96067
6860,3,4,0,739900,2776,92082
6861,1,2,0,725000,867,91214
6862,1,2,0,725000,867,91214
6863,2,3,1,724900,1900,93446
6864,2,4,0,259000,1835,93555
6865,1,2,0,152000,900,92308
6866,3,5,0,285000,2712,92282
6867,6,4,1,16995000,7700,92625
6868,7,5,0,8495000,6102,90210
6869,4,4,2,4897000,5329,92210
6870,3,3,1,3495000,3922,92649
6871,2,3,1,3225000,2096,92651
6872,3,3,0,2750000,2460,92672
6873,2,2,0,1999000,2426,92651
6874,4,4,0,1698000,3622,92602
6875,6,9,0,1688000,6000,90603
6876,3,5,0,998000,2184,92122
6877,2,3,1,792750,3836,96103
6878,2,3,0,780000,2204,93422
6879,3,4,0,774000,4143,92506
6880,2,3,0,469999,1340,91387
6881,2,3,1,449000,1832,95223
6882,2,3,0,379600,3200,95971
6883,2,2,0,367000,1580,92253
6884,2,3,0,265000,1897,93555
6885,3,4,0,229900,2264,93274
6886,1,2,0,88900,864,92071
6887,6,8,1,2199000,5886,92881
6888,3,4,1,1685000,4010,95946
6889,2,2,0,845000,1812,93442
6890,2,3,0,699000,1374,91351
6891,2,4,0,640000,1604,90043
6892,3,7,0,595000,3128,93536
6893,3,4,0,460000,2574,93711
6894,2,3,0,399000,1757,95993
6895,3,5,0,285000,2713,92582
6896,2,3,0,250000,1440,92570
6897,8,7,0,4260000,6549,91356
6898,4,4,0,4895000,4790,93108
6899,2,2,0,3150000,2351,90049
6900,1,3,1,949900,1680,95476
6901,1,2,2,895000,2200,92260
6902,4,3,0,869900,3794,95370
6903,2,3,0,579000,1965,92260
6904,3,4,0,406000,237,92592
6905,2,3,1,365243,1628,95838
6906,2,3,1,349000,2056,95383
6907,2,3,0,336500,1120,92335
6908,1,3,0,310000,1118,90221
6909,2,3,0,298500,1500,95928
6910,2,3,0,222000,1532,92345
6911,3,4,0,518000,2287,94531
6912,6,6,3,12400000,11060,91302
6913,4,4,2,8950000,7418,90046
6914,4,5,1,4995000,5500,92653
6915,4,5,1,4395000,4124,92014
6916,4,4,0,3349000,2310,92663
6917,2,3,0,400000,1352,94533
6918,2,3,0,329900,2017,93555
6919,2,3,0,306500,1500,95928
6920,2,3,0,282500,150,95928
6921,2,3,0,281500,1500,95928
6922,2,3,0,270000,1038,95833
6923,2,3,0,215000,1045,95815
6924,1,3,0,185000,1100,96001
6925,2,4,0,975000,1412,94538
6926,2,4,0,975000,1412,94538
6927,5,4,0,14700000,4572,92651
6928,3,4,1,2395000,2890,93035
6929,2,4,0,2300000,1900,93619
6930,2,4,0,2280000,1994,91108
6931,6,7,1,2100000,9820,92067
6932,4,4,1,1950000,3450,96161
6933,4,5,1,1795000,7619,92399
6934,3,3,0,1645000,2702,92663
6935,2,3,1,479900,1868,92028
6936,3,4,0,455000,3258,92563
6937,4,5,0,440000,3029,93536
6938,1,2,0,420000,936,90047
6939,3,5,0,399000,2698,92344
6940,3,4,0,380000,2185,93551
6941,3,4,0,369900,2909,92223
6942,2,3,0,339000,2068,95451
6943,2,3,0,294000,1280,93536
6944,2,3,0,279900,2029,93555
6945,1,2,1,279900,966,92318
6946,2,3,0,262900,1902,93291
6947,2,3,0,215000,1402,93591
6948,2,3,0,184000,1699,93265
6949,2,2,0,130000,1096,93304
6950,2,3,0,125000,1180,96130
6951,1,2,0,70000,966,93252
6952,1,2,0,59900,884,93240
6953,3,4,0,540000,2554,95667
6954,2,5,0,479900,2232,94565
6955,3,4,0,445000,2680,93314
6956,3,3,0,249000,2346,95228
6957,2,3,0,1495000,2724,94508
6958,2,4,0,749000,1564,94551
6959,4,3,0,8988000,3169,92651
6960,3,3,0,8450000,2485,90077
6961,4,4,1,8350000,3740,92014
6962,6,6,1,3780000,6907,91007
6963,4,5,1,3599000,5187,90048
6964,4,4,1,3289000,3320,92663
6965,3,4,0,3195000,3108,90046
6966,4,5,1,3149999,4302,92660
6967,4,4,2,2195000,7434,92264
6968,4,4,2,1997000,4635,92270
6969,3,4,0,1994000,2762,92651
6970,4,5,0,1795000,5384,93405
6971,3,3,0,1625000,2448,90265
6972,4,3,0,1599000,1900,91602
6973,3,4,1,1575000,5250,93711
6974,5,4,0,2150000,3850,92626
6975,3,5,0,1890000,4203,93023
6976,3,4,0,1650000,3000,93035
6977,3,4,1,1599800,3200,92352
6978,3,4,0,1488000,3500,92870
6979,3,2,0,1175000,1519,93001
6980,4,5,1,1150000,4242,92506
6981,4,4,1,1149900,4058,92679
6982,4,5,1,1125000,4511,93722
6983,4,5,0,1099000,4257,92082
6984,3,4,0,1049000,3302,93401
6985,4,4,0,969000,3583,91355
6986,6,5,0,959900,5123,93723
6987,5,7,0,895000,5106,93704
6988,4,4,0,850000,3322,95247
6989,3,3,0,850000,2165,91356
